imueclt,anweight,party_feel_closest
0.0,0.35286197,middle left
-0.36363636363636365,0.11403173,middle left
0.7272727272727273,0.13209155,middle left
0.9090909090909091,0.21468475,middle left
0.0,0.30155247,middle left
0.0,0.10664708,middle left
-0.36363636363636365,0.14472999,middle left
0.36363636363636365,0.19099933,middle left
0.18181818181818177,0.28369537,middle left
-0.18181818181818177,0.18910746,middle left
0.0,0.28886795,middle left
0.36363636363636365,0.04129785,middle left
0.0,0.16370428,middle left
0.0,0.09496627,middle left
0.0,0.14391424,middle left
0.0,0.09577179,middle left
-0.18181818181818177,0.32361266,middle left
0.0,0.13517718,middle left
-0.36363636363636365,0.0950725,middle left
0.0,0.0978774,middle left
0.36363636363636365,0.78184915,middle left
-0.9090909090909092,0.3902762,middle left
0.36363636363636365,0.12160441,middle left
-0.5454545454545455,0.9400179,middle left
0.0,0.2374691,middle left
-0.18181818181818177,0.31544432,middle left
0.0,0.2826049,middle left
0.9090909090909091,0.6795601,middle left
-0.36363636363636365,1.3238645,middle left
0.0,0.048230585,middle left
0.7272727272727273,0.10895584,middle left
-0.5454545454545455,0.31198916,middle left
0.0,0.060802206,middle left
0.36363636363636365,0.13001321,middle left
-0.5454545454545455,0.036070555,middle left
0.18181818181818177,0.387933,middle left
-0.36363636363636365,0.54296577,middle left
0.0,1.191939,middle left
-0.18181818181818177,0.13517718,middle right
0.0,0.37834403,middle right
0.5454545454545454,0.2721703,middle right
0.0,0.05071257,middle right
-0.7272727272727274,0.10664708,middle right
-0.36363636363636365,0.06690894,middle right
-0.9090909090909092,0.22760281,middle right
-0.18181818181818177,0.35179457,middle right
0.18181818181818177,0.080918506,middle right
0.36363636363636365,0.4269993,middle right
0.0,0.053822216,middle right
0.0,0.3357223,middle right
0.36363636363636365,0.063962385,middle right
-0.18181818181818177,1.3238645,middle right
0.9090909090909091,0.33525828,middle right
0.0,0.25875628,middle right
-0.18181818181818177,0.32166973,middle right
0.36363636363636365,0.099154934,middle right
0.18181818181818177,0.39902058,middle right
-0.7272727272727274,0.84462255,middle right
-0.18181818181818177,0.10372264,middle right
0.0,0.26229855,middle right
0.18181818181818177,0.16183701,middle right
0.0,0.051652662,middle right
0.5454545454545454,0.68201786,middle right
-0.7272727272727274,0.07739921,middle right
0.0,0.39144412,middle right
0.36363636363636365,0.27798086,middle right
0.0,0.43157864,middle right
0.0,0.30879104,middle right
0.36363636363636365,0.13596885,middle right
0.0,0.19595523,middle right
0.0,0.22952175,middle right
0.18181818181818177,0.22425073,middle right
0.9090909090909091,0.2525667,middle right
0.36363636363636365,0.08888855,middle right
0.36363636363636365,0.07739921,middle right
0.0,1.3238645,middle right
-0.7272727272727274,0.52073646,middle right
-0.5454545454545455,0.19709627,middle right
-0.18181818181818177,0.4544635,middle right
0.36363636363636365,0.08214058,middle right
0.36363636363636365,0.061002918,middle right
0.0,0.925077,middle right
0.18181818181818177,0.29240704,middle right
-0.18181818181818177,0.46905684,middle right
0.18181818181818177,0.473632,middle right
0.36363636363636365,0.09160248,middle right
-0.36363636363636365,0.12845486,middle right
0.5454545454545454,1.0355334,middle right
0.5454545454545454,0.26018414,middle right
0.18181818181818177,0.9169618,middle right
0.7272727272727273,0.39144412,middle right
0.5454545454545454,0.45005766,middle right
0.18181818181818177,1.2849224,middle right
