wrclmch,prtcleat,anweight,party_feel_closest
1.0,66.0,0.8144486,none
0.0,66.0,0.2962739,none
0.5,66.0,0.10900985,none
-0.5,3.0,0.3216308,right
0.0,2.0,0.79804116,middle right
-1.0,3.0,0.6152736,right
0.5,2.0,0.22952175,middle right
0.0,66.0,0.18373565,none
0.0,66.0,0.08210337,none
0.0,66.0,0.18131082,none
0.0,66.0,0.18376367,none
0.5,66.0,0.22805028,none
0.5,6.0,0.07236499,left
-0.5,1.0,0.5777586,middle left
1.0,66.0,0.3325147,none
1.0,66.0,0.29471585,none
0.5,66.0,0.30829272,none
0.5,2.0,0.22856614,middle right
1.0,66.0,0.61951196,none
-0.5,2.0,0.6773098,middle right
1.0,66.0,0.60291135,none
0.5,1.0,0.12845486,middle left
0.0,1.0,0.3968104,middle left
0.0,66.0,0.22543079,none
0.0,1.0,0.23237638,middle left
0.5,66.0,1.0528255,none
0.5,66.0,0.31651816,none
1.0,2.0,0.09611565,middle right
0.0,2.0,0.12907189,middle right
0.5,66.0,1.1119441,none
1.0,1.0,1.201156,middle left
-0.5,66.0,0.053987704,none
0.0,1.0,0.24307518,middle left
-0.5,66.0,0.31014088,none
-1.0,66.0,0.19209859,none
0.5,66.0,0.27678853,none
0.5,1.0,0.42554206,middle left
-1.0,3.0,0.1441259,right
-0.5,66.0,0.045621652,none
0.0,66.0,1.2984201,none
0.5,66.0,0.13132241,none
0.0,66.0,0.09127871,none
0.0,66.0,0.52528965,none
0.0,66.0,0.23973201,none
0.0,3.0,0.27017623,right
0.0,66.0,0.22311963,none
0.0,1.0,1.3238643,middle left
0.0,3.0,0.4376835,right
-0.5,66.0,0.7116839,none
0.0,66.0,0.1200308,none
0.0,66.0,0.5107198,none
1.0,66.0,0.13899043,none
0.0,66.0,0.047769975,none
0.0,6.0,0.107597955,left
0.5,66.0,0.35108042,none
1.0,5.0,0.056871403,left
1.0,66.0,0.0899917,none
0.0,2.0,0.10372264,middle right
0.0,66.0,0.3576887,none
0.0,1.0,0.21349965,middle left
0.0,2.0,0.10376495,middle right
-0.5,66.0,0.46916294,none
1.0,66.0,0.6152736,none
0.0,66.0,0.047460195,none
0.5,7.0,0.27397722,middle right
-0.5,66.0,0.092262685,none
0.0,2.0,0.44207376,middle right
0.0,66.0,0.23100789,none
0.0,66.0,0.27398005,none
0.5,5.0,0.14069255,left
0.5,66.0,1.0387454,none
0.0,66.0,0.51117456,none
0.0,66.0,0.45184156,none
0.0,66.0,0.23910579,none
-0.5,66.0,0.09544661,none
-1.0,66.0,0.31606352,none
0.0,66.0,0.1975018,none
0.5,5.0,0.70143235,left
0.0,66.0,0.038699605,none
0.0,2.0,1.0355334,middle right
0.5,66.0,0.43044513,none
0.5,2.0,0.06690893,middle right
0.5,66.0,0.45607427,none
-0.5,3.0,0.10090476,right
-0.5,66.0,0.27723357,none
0.5,66.0,0.09577179,none
0.5,66.0,0.30155244,none
0.0,66.0,0.16519614,none
0.0,66.0,0.4779049,none
0.0,1.0,0.102491125,middle left
0.5,66.0,0.22967838,none
0.5,2.0,0.56376016,middle right
-0.5,2.0,0.7326417,middle right
0.0,3.0,1.3165886,right
1.0,66.0,0.2758444,none
0.5,1.0,0.32361266,middle left
-0.5,66.0,1.3238642,none
0.5,66.0,0.4629585,none
0.0,66.0,0.16452838,none
0.5,66.0,0.4899222,none
0.0,2.0,0.14908034,middle right
0.0,66.0,0.12160441,none
